Package Name,Original Database Name,Original Path of Database,Table Name,Line ID,name,version
"(Package Name, com.facebook.katana)","(Original Database Name, prefs_db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.katana/databases/prefs_db)","(Table Name, _shared_version)","(Line ID, 1)","(name, preferences)","(version, 2)"
"(Package Name, com.facebook.katana)","(Original Database Name, prefs_db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.katana/databases/prefs_db)","(Table Name, _shared_version)","(Line ID, 2)","(name, app_build_number)","(version, 300480919)"
"(Package Name, com.facebook.katana)","(Original Database Name, prefs_db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.katana/databases/prefs_db)","(Table Name, _shared_version)","(Line ID, 3)","(name, app_upgrade_time)","(version, 1624937379571)"
